,deviceId,timestamp,voltage,current,activePower,apparentPower,reactivePower,powerFactor
66,8,Mon Jun 11 2018 00:46:39 GMT+0000 (UTC),212,0.03,6,6,0,1
67,8,Mon Jun 11 2018 01:03:34 GMT+0000 (UTC),212,0.03,6,6,0,1
68,8,Mon Jun 11 2018 01:37:00 GMT+0000 (UTC),212,0.03,6,6,0,1
69,8,Mon Jun 11 2018 02:04:40 GMT+0000 (UTC),212,0.03,6,6,0,1
70,8,Mon Jun 11 2018 02:44:35 GMT+0000 (UTC),212,0.03,6,6,0,1
71,8,Mon Jun 11 2018 03:06:51 GMT+0000 (UTC),212,0.03,6,6,0,1
72,8,Mon Jun 11 2018 03:48:11 GMT+0000 (UTC),212,0.03,6,6,0,1
73,8,Mon Jun 11 2018 03:54:11 GMT+0000 (UTC),212,0.03,6,6,0,1
74,8,Mon Jun 11 2018 03:58:11 GMT+0000 (UTC),212,0.03,6,6,0,1
75,8,Mon Jun 11 2018 04:06:06 GMT+0000 (UTC),212,0.03,6,6,0,1
76,8,Mon Jun 11 2018 06:08:44 GMT+0000 (UTC),212,0.03,6,6,0,1
77,8,Mon Jun 11 2018 06:09:34 GMT+0000 (UTC),212,0.03,6,6,0,1
78,8,Mon Jun 11 2018 06:11:24 GMT+0000 (UTC),212,0.03,6,6,0,1
79,8,Mon Jun 11 2018 06:28:29 GMT+0000 (UTC),212,0.03,6,6,0,1
80,8,Mon Jun 11 2018 06:35:24 GMT+0000 (UTC),212,0.03,6,6,0,1
81,8,Mon Jun 11 2018 06:46:04 GMT+0000 (UTC),212,0.03,6,6,0,1
82,8,Mon Jun 11 2018 07:31:35 GMT+0000 (UTC),212,0.03,6,6,0,1
83,8,Mon Jun 11 2018 07:31:50 GMT+0000 (UTC),212,0.03,6,6,0,1
84,8,Mon Jun 11 2018 07:44:25 GMT+0000 (UTC),212,0.03,6,6,0,1
85,8,Mon Jun 11 2018 07:46:53 GMT+0000 (UTC),212,0.03,6,6,0,1
86,8,Mon Jun 11 2018 08:07:26 GMT+0000 (UTC),212,0.03,6,6,0,1
87,8,Mon Jun 11 2018 08:08:41 GMT+0000 (UTC),212,0.03,6,6,0,1
88,8,Mon Jun 11 2018 09:07:32 GMT+0000 (UTC),212,0.03,6,6,0,1
89,8,Mon Jun 11 2018 09:13:42 GMT+0000 (UTC),212,0.03,6,6,0,1
90,8,Mon Jun 11 2018 09:38:58 GMT+0000 (UTC),212,0.03,6,6,0,1
91,8,Mon Jun 11 2018 09:51:33 GMT+0000 (UTC),212,0.03,6,6,0,1
92,8,Mon Jun 11 2018 10:07:39 GMT+0000 (UTC),212,0.03,6,6,0,1
93,8,Mon Jun 11 2018 10:19:48 GMT+0000 (UTC),212,0.03,6,6,0,1
94,8,Mon Jun 11 2018 10:56:19 GMT+0000 (UTC),212,0.03,6,6,0,1
95,8,Mon Jun 11 2018 10:59:24 GMT+0000 (UTC),212,0.03,6,6,0,1
96,8,Mon Jun 11 2018 11:09:39 GMT+0000 (UTC),212,0.03,6,6,0,1
97,8,Mon Jun 11 2018 12:01:05 GMT+0000 (UTC),212,0.03,6,6,0,1
98,8,Mon Jun 11 2018 12:01:30 GMT+0000 (UTC),212,0.03,6,6,0,1
99,8,Mon Jun 11 2018 12:59:10 GMT+0000 (UTC),212,0.03,6,6,0,1
100,8,Mon Jun 11 2018 13:07:16 GMT+0000 (UTC),212,0.03,6,6,0,1
101,8,Mon Jun 11 2018 13:24:21 GMT+0000 (UTC),212,0.03,6,6,0,1
102,8,Mon Jun 11 2018 13:40:01 GMT+0000 (UTC),212,0.03,6,6,0,1
103,8,Mon Jun 11 2018 13:48:56 GMT+0000 (UTC),212,0.03,6,6,0,1
104,8,Mon Jun 11 2018 13:55:26 GMT+0000 (UTC),212,0.03,6,6,0,1
105,8,Mon Jun 11 2018 14:07:46 GMT+0000 (UTC),212,0.03,6,6,0,1
106,8,Mon Jun 11 2018 14:13:17 GMT+0000 (UTC),212,0.03,6,6,0,1
107,8,Mon Jun 11 2018 14:14:07 GMT+0000 (UTC),212,0.03,6,6,0,1
108,8,Mon Jun 11 2018 14:19:47 GMT+0000 (UTC),212,0.03,6,6,0,1
109,8,Mon Jun 11 2018 14:42:12 GMT+0000 (UTC),212,0.03,6,6,0,1
110,8,Mon Jun 11 2018 15:11:17 GMT+0000 (UTC),212,0.03,6,6,0,1
111,8,Mon Jun 11 2018 15:50:13 GMT+0000 (UTC),212,0.03,6,6,0,1
112,8,Mon Jun 11 2018 15:58:48 GMT+0000 (UTC),212,0.03,6,6,0,1
113,8,Mon Jun 11 2018 18:17:30 GMT+0000 (UTC),212,0.03,6,6,0,1
114,8,Mon Jun 11 2018 18:23:10 GMT+0000 (UTC),212,0.03,6,6,0,1
115,8,Mon Jun 11 2018 18:32:00 GMT+0000 (UTC),212,0.03,6,6,0,1
116,8,Mon Jun 11 2018 18:34:00 GMT+0000 (UTC),212,0.03,6,6,0,1
117,8,Mon Jun 11 2018 18:40:55 GMT+0000 (UTC),212,0.03,6,6,0,1
118,8,Mon Jun 11 2018 18:41:15 GMT+0000 (UTC),212,0.03,6,6,0,1
119,8,Mon Jun 11 2018 19:09:50 GMT+0000 (UTC),212,0.03,6,6,0,1
120,8,Mon Jun 11 2018 19:19:50 GMT+0000 (UTC),212,0.03,6,6,0,1
121,8,Mon Jun 11 2018 19:22:36 GMT+0000 (UTC),212,0.03,6,6,0,1
122,8,Mon Jun 11 2018 19:25:01 GMT+0000 (UTC),212,0.03,6,6,0,1
123,8,Mon Jun 11 2018 20:10:06 GMT+0000 (UTC),212,0.03,6,6,0,1
124,8,Mon Jun 11 2018 20:20:06 GMT+0000 (UTC),212,0.03,6,6,0,1
125,8,Mon Jun 11 2018 20:22:56 GMT+0000 (UTC),212,0.03,6,6,0,1
126,8,Mon Jun 11 2018 21:26:37 GMT+0000 (UTC),212,0.03,6,6,0,1
127,8,Mon Jun 11 2018 21:46:37 GMT+0000 (UTC),212,0.03,6,6,0,1
128,8,Mon Jun 11 2018 21:48:47 GMT+0000 (UTC),212,0.03,6,6,0,1
129,8,Mon Jun 11 2018 22:42:18 GMT+0000 (UTC),212,0.03,6,6,0,1
130,8,Mon Jun 11 2018 22:56:19 GMT+0000 (UTC),212,0.03,6,6,0,1
131,8,Mon Jun 11 2018 23:18:14 GMT+0000 (UTC),212,0.03,6,6,0,1
132,8,Tue Jun 12 2018 00:55:07 GMT+0000 (UTC),212,0.03,6,6,0,1
133,8,Tue Jun 12 2018 01:39:13 GMT+0000 (UTC),212,0.03,6,6,0,1
134,8,Tue Jun 12 2018 01:40:23 GMT+0000 (UTC),212,0.03,6,6,0,1
135,8,Tue Jun 12 2018 01:44:23 GMT+0000 (UTC),212,0.03,6,6,0,1
136,8,Tue Jun 12 2018 02:03:23 GMT+0000 (UTC),212,0.03,6,6,0,1
137,8,Tue Jun 12 2018 02:08:08 GMT+0000 (UTC),212,0.03,6,6,0,1
138,8,Tue Jun 12 2018 02:37:35 GMT+0000 (UTC),212,0.03,6,6,0,1
139,8,Tue Jun 12 2018 03:12:15 GMT+0000 (UTC),212,0.03,6,6,0,1
140,8,Tue Jun 12 2018 03:35:11 GMT+0000 (UTC),212,0.03,6,6,0,1
141,8,Tue Jun 12 2018 04:24:17 GMT+0000 (UTC),212,0.03,6,6,0,1
142,8,Tue Jun 12 2018 04:25:27 GMT+0000 (UTC),212,0.03,6,6,0,1
143,8,Tue Jun 12 2018 04:44:47 GMT+0000 (UTC),212,0.03,6,6,0,1
144,8,Tue Jun 12 2018 04:52:37 GMT+0000 (UTC),212,0.03,6,6,0,1
145,8,Tue Jun 12 2018 05:10:47 GMT+0000 (UTC),212,0.03,6,6,0,1
146,8,Tue Jun 12 2018 05:15:32 GMT+0000 (UTC),212,0.03,6,6,0,1
147,8,Tue Jun 12 2018 05:33:58 GMT+0000 (UTC),212,0.03,6,6,0,1
148,8,Tue Jun 12 2018 05:45:18 GMT+0000 (UTC),212,0.03,6,6,0,1
149,8,Tue Jun 12 2018 05:51:48 GMT+0000 (UTC),212,0.03,6,6,0,1
150,8,Tue Jun 12 2018 06:03:53 GMT+0000 (UTC),212,0.03,6,6,0,1
151,8,Tue Jun 12 2018 06:25:23 GMT+0000 (UTC),212,0.03,6,6,0,1
152,8,Tue Jun 12 2018 06:50:14 GMT+0000 (UTC),212,0.03,6,6,0,1
